ISCO08_C,ISCO1C,ISCO2C,PVLIT1,PVLIT2,PVLIT3,PVLIT4,PVLIT5,PVLIT6,PVLIT7,PVLIT8,PVLIT9,PVLIT10,PVNUM1,PVNUM2,PVNUM3,PVNUM4,PVNUM5,PVNUM6,PVNUM7,PVNUM8,PVNUM9,PVNUM10,NUMWORKC2,READWORKC2_T1,WRITWORKC2,ICTWORKC2,SPFWT0,AGE_R,GENDER_R
5230,5,52,161.51011,156.12808,156.89671,168.96186,136.27594,146.51548,137.24142,146.47157,132.37443,154.63587,162.22401,159.48911,170.37346,157.55882,164.00688,187.27356,178.9636,166.05814,150.3971,201.44186,2.57327,1.19836,2.05622,1.13714,14008.967762,32.0,2.0
9996,996,996,129.70705,108.86556,147.54472,111.19463,143.97429,97.11262,142.37698,131.66511,127.38079,139.49566,115.81367,118.89284,111.47478,129.14974,115.58681,86.98864,130.23033,133.3001,114.31292,124.77294,.v,.v,.v,.v,6519.293198,38.0,2.0
5151,5,51,174.51237,191.76207,195.33165,211.68544,222.66041,207.54969,191.77829,181.86647,187.91014,194.32186,177.46731,195.8945,196.80918,165.43259,195.74892,202.30314,199.65353,193.04264,163.04158,199.73412,0.11034,1.68285,2.3831,1.13751,790.127872,62.0,2.0
2221,2,22,244.63521,247.34946,256.11214,288.56797,238.28685,244.89173,268.71225,227.88698,284.45473,256.22016,260.31055,228.22138,230.20249,250.34721,255.85546,242.47824,245.05077,231.4243,259.45595,241.20039,1.24678,2.72177,3.63381,1.47599,1605.778016,46.0,2.0
9334,9,93,210.37552,234.66085,228.51164,220.22914,253.44702,234.87606,207.18838,232.80957,199.71281,245.79772,236.05648,218.45562,203.81528,227.27811,220.69715,206.02008,234.58704,218.83408,220.0,202.3938,1.39489,0.71268,0.76608,1.2247,3777.610714,29.0,2.0
5414,5,54,276.91796,275.25141,269.99462,266.48732,285.55517,279.36603,261.3302,296.51085,277.72952,267.86906,272.90379,310.36288,283.34538,291.16133,313.41934,324.5999,297.58362,259.75255,317.79864,306.61436,0.11034,0.8189,2.38929,.v,3595.321522,48.0,1.0
5211,5,52,243.61489,233.42844,220.82135,224.58093,240.09174,236.11098,232.28685,204.62406,221.481,216.05768,234.86345,240.07153,231.2286,216.54658,227.63554,245.62325,236.98671,247.07501,238.62675,239.78898,1.75623,1.01156,0.20752,0.29699,2733.574547,59.0,2.0
9996,996,996,354.9315,343.21758,357.63936,346.06382,358.66911,332.23772,330.25543,342.64936,352.5194,322.79433,346.91631,324.49088,327.66031,313.17883,324.63428,320.88268,329.01008,348.87983,317.84663,302.06566,.v,.v,.v,.v,2561.699023,17.0,1.0
3412,3,34,266.57436,264.503,286.02332,286.46283,283.36703,259.01637,265.39359,277.29371,288.35405,277.94106,211.49218,216.47659,216.11676,232.91125,222.48558,239.2486,224.07365,225.37218,245.91948,222.11911,1.21635,2.06028,1.98731,1.2247,1624.412363,38.0,2.0
9996,995,995,169.73128,157.27507,172.72836,164.71803,159.38534,180.49304,166.10219,149.46709,135.93982,158.18188,186.99186,191.02923,147.28088,185.59657,161.35885,171.98696,177.05193,142.02805,150.44683,174.6402,.v,.v,.v,.v,2815.605911,18.0,2.0
9996,996,996,282.08712,298.21421,300.25681,290.79016,278.66067,283.55762,284.54187,301.50037,299.64452,281.15591,294.4893,280.40866,314.79007,276.73749,312.56282,304.68031,308.11964,300.22027,316.15455,295.4023,1.21635,3.75273,2.38929,1.2247,4783.400191,49.0,1.0
9996,996,996,220.60827,217.43977,209.75574,195.11527,202.262,197.98478,199.41167,249.03634,221.33889,227.17644,202.47157,209.40871,207.19757,210.66881,202.88067,203.10824,202.03688,200.53046,204.54936,203.40575,0.11034,0.93394,0.20752,0.45328,9818.289887,48.0,2.0
1420,1,14,191.78368,199.67896,184.37372,255.08448,209.12253,222.93903,194.19669,215.01537,222.42806,223.19752,209.88945,234.25841,187.93485,246.06829,227.72739,229.24556,180.61481,205.01141,216.83791,223.55288,3.06063,3.51614,2.59139,2.27179,1177.933103,46.0,2.0
5223,5,52,272.43548,255.81564,282.5567,249.41789,251.97542,247.89129,278.72656,251.14357,243.49034,246.24196,274.99282,239.13657,279.38284,271.9354,259.64184,261.53134,264.82144,264.57718,261.34451,270.83549,1.21635,1.16323,1.29646,0.29699,1587.380371,19.0,1.0
5223,5,52,294.52711,305.4219,332.79612,295.5083,313.08325,300.65332,321.10943,323.18288,295.53676,299.96969,326.74298,326.61424,310.04072,323.24483,298.29198,308.41275,330.4297,350.38513,314.21171,350.99368,0.85746,2.66776,2.28433,1.52063,4948.877402,25.0,1.0
9112,9,91,173.75611,185.60478,182.40781,183.1897,206.68045,220.92876,184.31328,175.87387,185.75554,185.29863,207.20219,177.2038,178.37437,181.70906,192.98052,217.73878,199.03635,220.91267,190.80051,193.54522,0.11034,0.85364,2.34549,.v,473.704668,44.0,2.0
2423,2,24,288.73869,261.57436,309.64927,295.70686,303.01231,247.09753,257.66948,332.35342,311.45086,298.89224,270.42238,305.09993,290.81506,290.13863,292.09525,301.20511,295.82795,288.01792,305.28309,285.65317,2.938,2.43059,3.63381,2.8321,912.586647,24.0,1.0
3343,3,33,263.74867,242.80985,263.01472,263.19116,273.37683,253.06013,242.50181,260.78296,254.3966,258.66101,282.74016,259.87289,281.07007,290.90453,273.56315,268.01516,297.93858,289.47164,273.3392,267.11651,2.31972,1.79596,2.61166,1.96713,5572.287572,32.0,1.0
7317,7,73,170.54695,192.04695,188.69965,172.72845,188.91731,172.70513,206.94632,166.20622,190.96389,182.30928,222.01625,231.91462,205.49608,220.97641,225.53509,190.14539,233.38016,215.89149,209.52759,235.44507,1.35521,2.03155,1.49955,.v,4332.452983,51.0,1.0
3313,3,33,168.57113,192.00698,228.53819,193.73425,179.91451,172.57805,229.21893,187.29653,162.7655,192.09913,201.66145,211.36521,203.45831,196.12197,136.12323,195.77038,214.77334,200.14095,165.0467,188.71119,3.09697,2.21377,1.83999,3.29951,1874.820862,33.0,2.0
9996,995,995,178.1715,179.45897,183.85575,153.66001,159.1177,165.33016,185.30894,150.40173,163.33512,187.71958,221.90833,238.65478,241.323,198.8035,204.42641,215.81868,210.50168,207.29967,189.76342,229.07384,.v,.v,.v,.v,2650.020088,64.0,2.0
3434,3,34,224.23257,177.42861,231.52808,211.30584,212.60476,197.68576,212.65413,186.25037,207.74247,186.41327,225.96058,215.22545,246.92825,236.56285,220.60452,192.33239,226.40195,194.83905,219.49541,222.08464,3.05581,2.03969,2.53495,2.1656,2045.295491,55.0,2.0
9996,996,996,167.44447,187.33293,174.63445,181.44147,176.26149,159.32884,158.24383,177.61878,178.93135,187.13729,145.29494,179.6222,153.85728,183.96356,191.55077,167.21114,175.367,207.37162,173.24362,173.06112,2.44738,1.59888,2.14777,4.03035,10927.195903,42.0,2.0
2310,2,23,250.53719,257.24908,220.73869,247.75619,250.36334,242.88184,229.55107,247.94433,245.02613,224.50969,264.21069,272.28524,256.09825,255.34513,273.58661,274.04751,268.72147,252.72319,255.49232,252.73503,1.0712,1.05504,2.59139,0.89388,1236.750083,41.0,1.0
5211,5,52,271.2709,305.88798,288.26795,300.36006,311.00892,294.64395,299.22849,295.04826,285.41829,275.60054,234.23745,284.87661,299.47581,273.64933,317.08538,260.05986,256.64148,276.56973,266.71081,239.85726,2.12779,-1.81651,0.20752,.v,907.352159,18.0,2.0
9996,996,996,140.56274,159.79241,151.60663,162.11069,165.19637,161.14317,152.69395,166.15892,168.08575,159.75773,129.85407,174.05165,133.92464,149.42958,164.43056,148.12925,132.93578,137.11454,155.72837,155.34793,0.82065,-1.81651,0.20752,.v,2656.362176,65.0,1.0
9996,996,996,162.3062,163.34943,155.79414,175.0249,177.66124,164.04778,164.17844,159.53267,154.40988,173.30468,157.18667,160.28143,155.20657,168.4577,164.94331,148.75517,144.66648,138.1825,134.15262,133.64229,2.08834,2.61184,2.3831,0.74592,2990.15529,59.0,1.0
4226,4,42,245.3985,210.84737,230.18553,205.00664,244.05304,219.76178,251.82551,250.85328,237.83791,232.56409,235.29175,226.12959,226.38756,228.17387,229.46109,234.6332,241.34924,228.61749,231.33282,254.10072,2.05393,1.46481,1.98731,1.68902,2977.638606,29.0,1.0
